from,to,weight
1,2,5
1,3,4
1,4,5
1,5,5
1,6,5
1,7,4
1,8,4
1,9,4
1,10,3
1,11,3
1,12,3
1,13,3
1,14,2
1,15,3
1,16,3
1,17,3
1,18,4
1,19,4
1,20,3
1,21,2
1,22,3
1,23,2
1,24,3
1,25,2
1,26,2
1,27,3
1,28,3
1,29,3
1,30,3
1,31,2
1,32,4
1,33,3
1,34,1
1,35,2
1,36,1
1,37,2
1,38,1
1,39,1
1,40,3
1,41,2
1,42,2
1,43,2
1,44,2
1,45,1
1,46,2
1,47,2
1,48,2
1,49,2
1,50,1
1,51,2
1,52,2
1,53,3
1,54,2
1,55,3
1,56,2
1,58,2
1,59,1
1,60,2
1,61,2
1,62,1
2,3,5
2,4,4
2,5,4
2,6,4
2,7,5
2,8,4
2,9,4
2,10,3
2,11,3
2,12,2
2,13,2
2,14,1
2,15,3
2,16,3
2,17,3
2,18,4
2,19,4
2,20,3
2,21,2
2,22,3
2,23,2
2,24,3
2,25,2
2,26,2
2,27,2
2,28,1
2,29,2
2,30,3
2,31,1
2,32,5
2,33,3
2,35,1
2,36,2
2,37,1
2,39,1
2,40,3
2,41,2
2,42,3
2,43,1
2,44,2
2,45,2
2,46,1
2,47,1
2,48,1
2,49,3
2,50,2
2,51,2
2,52,2
2,53,3
2,54,2
2,55,3
2,56,3
2,57,1
2,58,2
2,59,1
2,60,1
2,60,1
3,4,3
3,5,1
3,6,1
3,7,4
3,8,1
3,18,2
3,19,2
3,20,1
3,27,1
3,29,1
3,30,2
3,32,5
3,33,4
3,40,2
3,41,1
3,49,3
3,50,2
4,5,5
4,6,5
4,7,2
4,8,1
4,18,2
4,19,2
4,20,2
4,21,1
4,30,1
4,32,2
5,6,5
5,32,2
5,33,1
6,32,2
6,33,1
7,18,1
7,19,1
7,20,1
7,32,5
7,33,3
7,44,2
7,49,3
7,50,2
8,9,5
8,14,3
8,18,3
8,19,3
8,32,2
8,33,1
8,34,2
8,35,4
8,36,4
8,45,3
9,32,1
9,14,2
9,18,2
9,19,2
9,34,2
9,35,3
9,36,3
9,45,4
10,11,5
10,15,4
10,22,4
10,23,4
10,24,4
10,25,4
10,32,1
10,58,4
10,59,4
11,15,4
11,22,4
11,23,4
11,24,4
11,25,4
11,26,1
11,32,1
11,58,4
11,59,4
12,13,3
12,14,1
12,27,3
12,28,3
12,29,2
12,30,2
12,31,1
12,42,2
12,43,2
12,44,3
12,46,1
12,47,1
12,48,2
12,60,1
13,14,2
13,27,4
13,28,4
13,29,3
13,30,4
13,31,2
13,32,3
13,33,2
13,42,5
13,43,4
13,44,4
13,46,3
13,47,3
13,48,3
13,49,2
13,50,1
13,60,2
14,18,1
14,19,1
14,20,1
14,27,1
14,28,1
14,30,1
14,34,5
14,35,3
14,36,3
14,42,1
14,43,1
14,44,1
14,45,1
14,46,1
14,48,1
14,60,1
15,22,4
15,23,3
15,24,5
15,58,4
15,59,4
16,17,5
16,18,4
16,19,4
16,20,3
16,21,2
16,38,4
16,40,3
16,41,3
16,56,3
16,57,1
17,18,4
17,19,4
17,20,2
17,21,2
17,38,4
17,40,3
17,41,3
17,56,3
17,57,1
18,19,5
18,20,4
18,21,3
18,30,2
18,32,3
18,35,2
18,36,2
18,39,3
18,40,4
18,41,4
18,56,4
18,57,2
19,20,4
19,21,3
19,30,2
19,32,3
19,33,2
19,34,1
19,35,1
19,36,2
19,39,3
19,40,4
19,41,4
19,56,4
19,57,2
20,21,5
20,30,1
20,32,2
20,33,2
20,35,2
20,35,1
20,40,1
20,41,1
20,56,3
20,57,2
21,56,2
21,57,2
22,23,5
22,24,4
22,25,4
22,26,4
22,32,1
22,37,3
22,58,4
22,59,4
23,24,4
23,25,4
23,26,3
23,37,2
23,58,4
23,59,4
24,25,4
24,58,4
24,59,4
25,58,4
25,59,4
26,37,3
26,40,4
26,41,4
27,28,4
27,29,5
27,30,4
27,31,2
27,32,3
27,33,2
27,42,3
27,43,3
27,44,3
27,46,2
27,48,2
27,60,3
28,29,3
28,30,4
28,31,2
28,32,2
28,33,1
28,42,4
28,43,4
28,44,4
28,46,3
28,47,3
28,48,3
28,60,3
29,30,4
29,31,2
29,32,3
29,33,2
29,42,4
29,43,3
29,44,4
29,46,3
29,47,3
29,48,2
29,60,3
30,31,5
30,32,3
30,33,1
30,42,3
30,43,4
30,44,3
30,46,3
30,47,3
30,48,4
30,60,3
31,42,1
31,43,1
31,44,1
31,46,1
31,60,1
32,33,5
32,40,2
32,41,2
32,42,3
32,43,2
32,44,3
32,46,1
32,47,2
32,48,2
32,49,4
32,50,3
32,60,1
33,40,1
33,41,1
33,42,2
33,49,3
33,50,2
34,35,3
34,36,3
34,45,2
34,60,1
35,36,5
35,45,2
36,45,2
37,61,1
38,56,2
38,57,1
39,56,2
39,57,1
40,41,5
40,56,2
40,57,1
41,56,2
41,57,1
42,43,4
42,44,4
42,46,2
42,47,3
42,48,3
42,49,3
42,50,2
42,60,2
43,44,4
43,46,2
43,47,3
43,48,3
43,60,3
44,46,2
44,49,3
44,50,2
44,60,2
46,47,2
46,48,2
46,60,3
47,48,3
47,60,2
49,50,5
51,52,3
51,53,3
51,54,3
52,53,3
52,54,3
53,54,3
55,61,2
56,57,5
58,59,5
61,62,5
